"PROGRAMMA","ASSE","LINEA","AZIONE","TITOLO_PROGETTO","AMBITO_INTERVENTO","SETTORE","DATA_AVVIO","DURATA_PROGETTO","COSTO_COMPLESSIVO","CONTRIBUTO_TOTALE_RICHIESTO","CONTRIBUTO_TOTALE_AMMESSO","CONTRIBUTO_INVEST_RICHIESTO","CONTRIBUTO_INVEST_AMMESSO","CONTRIBUTO_INVEST_CONCESSO_PROVVISORIO","COFINANZIAMENTO_INVEST_BENEFICIARIO","CONTRIBUTO_SPESE_RICHIESTO","CONTRIBUTO_SPESE_AMMESSO","CONTRIBUTO_SPESE_CONCESSO_PROVVISORIO","BENEFICIARIO","CODICE_ATECO","PROVINCIA","LOCALIZZAZIONE_INVESTIMENTO","CODICE_ISTAT","SITO_WEB","DESCRIZIONE_PROGETTO","REVOCA"
"PO FESR 2007-2013","1","1.1","1.1.3","Avvio della produzione di dispositivi industriali con tecnologia wireless certificata","RICERCA E SPERIMENTAZIONE","Sistemi avanzati di manifattura","01/02/2014","36","1.884.021,00","908.374,00","858.162,60","624.874,20","563.412,60","563.412,60","375.608,40","283.499,80","294.750,00","294.750,00","ON3 SRL","27.9 - FABBRICAZIONE DI ALTRE APPARECCHIATURE ELETTRICHE -Sistemi avanzati di manifattura","BA","BARI","072006","","Avvio della produzione di dispositivi industriali con tecnologia wireless certificata",""
"PO FESR 2007-2013","1","1.1","1.1.3","Avvio dell'attività di produzione di feltri in fibre di carbonio","RICERCA E SPERIMENTAZIONE","Ambiente","12/06/2013","36","2.000.000,00","1.200.000,00","1.178.762,00","1.200.000,00","1.178.762,00","1.178.762,00","800.000,00","-  ","","","KARBOREC RCF SRL","20.16.0- Recupero delle fibre di carbonio - Settore Ambiente","LE","","","","Avvio dell'attività di produzione di feltri in fibre di carbonio",""
"PO FESR 2007-2013","1","1.1","1.1.3","Avvio della produzione di manufatti ad alto contenuto biotecnologico in campo odontoiatrico","RICERCA E SPERIMENTAZIONE","Salute dell'uomo","05/08/2014","36","274.925,50","131.183,00","128.089,30","91.203,00","87.891,30","87.891,30","58.594,20","39.980,00","40.198,00","40.198,00","I-3D PROFESSIONAL SRL","32.50.20  - Settore Salute dell'uomo","BA","BARI","072006","","Avvio della produzione di manufatti ad alto contenuto biotecnologico in campo odontoiatrico",""
"PO FESR 2007-2013","1","1.1","1.1.3","Avvio dell'attività di produzione e sviluppo di nuovi catalizzatori, per applicazioni industriali ed energetiche","RICERCA E SPERIMENTAZIONE","Sistemi avanzati di manifattura","07/02/2014","36","406.666,67","176.645,00","163.286,66","74.100,00","73.200,00","73.200,00","48.800,00","102.545,00","90.086,66","90.086,66","CATALISI INNOVATIVA PER IL RICICLO DEL CARBONIO E BIOPOLIMERI SRL","20 - FABBRICAZIONE DI PRODOTTI CHIMICI E DI PRODOTTI ORGANICI E INORGANICI - Sistemi avanzati di manifattura","BA","VALENZANO","072048","","Avvio dell'attività di produzione e sviluppo di nuovi catalizzatori, per applicazioni industriali ed energetiche",""
"PO FESR 2007-2013","1","1.1","1.1.3","Avvio della fornitura di servizi di digital e mobile advertising&marketing","RICERCA E SPERIMENTAZIONE","ICT","16/07/2013","36","506.446,55","364.954,19","199.215,45","186.311,19","91.167,99","91.167,99","60.778,62","178.643,00","108.047,46","108.047,46","THE BOX COMPANY SRL","62.01 - Produzione di software non connesso all'edizione - Settore ICT","BA","GIOIA DEL COLLE","072021","www.dmmplatform.net","Avvio della fornitura di servizi di digital e mobile advertising&marketing",""
"PO FESR 2007-2013","1","1.1","1.1.3","Avvio della produzione di materiali per l'edilizia sulla base di un ritrovato sottoposto a brevetto","RICERCA E SPERIMENTAZIONE","Ambiente e risparmio energetico","31/01/2014","36","1.065.458,07","413.560,94","422.595,62","192.057,94","191.817,94","191.817,94","127.878,63","221.503,00","230.777,68","230.777,68","ROMEO S.R.L.","41.20.00 - Costruzione di edifici residenziali e non residenziali - Settore Ambiente e risparmio energetico","BT","TRANI","110009","www.ateliers-romeo.it","Avvio della produzione di materiali per l'edilizia sulla base di un ritrovato sottoposto a brevetto",""
"PO FESR 2007-2013","1","1.1","1.1.3","Sviluppo dei servizi  di tecnologia di trascrizione automatica del parlato per la sottotitolazione in diretta","RICERCA E SPERIMENTAZIONE","Ambiente e risparmio energetico","","36","100.453,31","97.031,99","43.691,98","27.031,99","21.631,98","21.631,98","14.421,32","70.000,00","22.060,00","","Made in terra soc. coop.","23.99.0 - Fabbricazione di altri prodotti in minerali non metalliferi nca - Settore Ambiente e risparmio energetico","TA","MARTINA FRANCA","073013","","Sviluppo dei servizi  di tecnologia di trascrizione automatica del parlato per la sottotitolazione in diretta",""
"PO FESR 2007-2013","1","1.1","1.1.3","Produzione di sistemi software (o ibridi hardware/software) innovativi in ambito bio-medicale, soprattutto per uso diagnostico (sistemi CAD Computer Assisted Detection)","RICERCA E SPERIMENTAZIONE","Salute dell'uomo","05/08/2014","36","408.478,92","190.727,20","164.577,36","84.726,60","73.535,36","73.535,36","49.023,57","106.000,60","91.042,00","91.042,00","ADAM SRL","58.29 - Edizione di altri software - Settore Salute dell'uomo","LE","LECCE","075035","adam.unisalento.it/","Produzione di sistemi software (o ibridi hardware/software) innovativi in ambito bio-medicale, soprattutto per uso diagnostico (sistemi CAD Computer Assisted Detection)",""
"PO FESR 2007-2013","1","1.1","1.1.3","Produzione industriale di prodotti da forno sulla base di una biotecnologia","RICERCA E SPERIMENTAZIONE","Sistema agroalimentare","01/08/2014","36","906.072,47","400.514,46","397.078,48","239.746,96","238.423,48","238.423,48","158.948,99","160.767,50","158.655,00","158.655,00","NOVELBREAD SRL","10.71.10 - Produzione di prodotti di panetteria freschi - Settore Sistema agroalimentare","BA","ACQUAVIVA DELLE FONTI","072001","","Produzione industriale di prodotti da forno sulla base di una biotecnologia",""
"PO FESR 2007-2013","1","1.1","1.1.3","Avvio della produzione di natanti e carrelli sulla base di un innovativo materiale composito a matrice polimerica, oggetto di uno studio CNR e di una domanda di brevetto","RICERCA E SPERIMENTAZIONE","Materiali avanzati","30/12/2014","36","1.712.238,09","1.283.700,00","924.000,00","1.030.200,00","835.000,00","835.000,00","556.666,66","253.500,00","89.000,00","89.000,00","N.E.S. srl","30.12.0 - Costruzione di imbarcazioni da diporto e sportive - Settore Materiali avanzati","FG","MANFREDONIA","071029","","Avvio della produzione di natanti e carrelli sulla base di un innovativo materiale composito a matrice polimerica, oggetto di uno studio CNR e di una domanda di brevetto",""
